Track,Artist,Position,Last,Peak,Weeks,Year,Month,Week
Night Of Your Life,David Guetta Featuring Jennifer Hudson,81,-,81,1,2011,9,10
Love Don't Run,Steve Holy,90,-,90,1,2011,9,10
What The Water Gave Me,Florence + The Machine,91,-,91,1,2011,9,10
Cost Of Livin',Ronnie Dunn,96,-,96,1,2011,9,10
That Way,Wale Featuring Jeremih & Rick Ross,98,-,98,1,2011,9,10
Martians Vs Goblins,"Game Featuring Lil Wayne & Tyler, The Creator",100,-,100,1,2011,9,10
Mirror,Lil Wayne Featuring Bruno Mars,16,-,16,1,2011,9,17
Love On Top,Beyonce,20,-,20,1,2011,9,17
Blunt Blowin,Lil Wayne,33,-,33,1,2011,9,17
Turn Me On,David Guetta Featuring Nicki Minaj,37,-,37,1,2011,9,17
Without You,David Guetta Featuring Usher,39,-,39,1,2011,9,17
Beautiful People,Chris Brown Featuring Benny Benassi,43,-,43,1,2011,9,17
Dancin' Away With My Heart,Lady Antebellum,50,-,50,1,2011,9,17
MegaMan,Lil Wayne,52,-,52,1,2011,9,17
My Body,Young The Giant,65,-,65,1,2011,9,17
Sexy And I Know It,LMFAO,76,-,76,1,2011,9,17
It's Good,Lil Wayne Featuring Drake & Jadakiss,79,-,79,1,2011,9,17
Good Feeling,Flo Rida,82,-,82,1,2011,9,17
How To Hate,Lil Wayne Featuring T-Pain,84,-,84,1,2011,9,17
Nightmares Of The Bottom,Lil Wayne,90,-,90,1,2011,9,17
President Carter,Lil Wayne,94,-,94,1,2011,9,17
So Special,Lil Wayne Featuring John Legend,95,-,95,1,2011,9,17
Mr. Know It All,Kelly Clarkson,18,-,18,1,2011,9,24
Wanted You More,Lady Antebellum,34,-,34,1,2011,9,24
Police Dog Blues,Hugh Laurie,58,-,58,1,2011,9,24
The Trouble With Girls,Scotty McCreery,84,-,84,1,2011,9,24
Disaster,JoJo,87,-,87,1,2011,9,24
All Your Life,The Band Perry,95,-,95,1,2011,9,24
Wet The Bed,Chris Brown Featuring Ludacris,96,-,96,1,2011,9,24
Paradise,Coldplay,16,-,16,1,2011,10,1
I Got Nothin',Darius Rucker,84,-,84,1,2011,10,1
Body And Soul,Tony Bennett & Amy Winehouse,87,-,87,1,2011,10,1
Let It Rain,David Nail Featuring Sarah Buxton,95,-,95,1,2011,10,1
Body 2 Body,Ace Hood Featuring Chris Brown,98,-,98,1,2011,10,1
Got 2 Luv U,Sean Paul Featuring Alexis Jordan,99,-,99,1,2011,10,1
You Don't Know Her Like I Do,Brantley Gilbert,100,-,100,1,2011,10,1
We Found Love,Rihanna Featuring Calvin Harris,16,-,16,1,2011,10,8
It's Not Unusual,Glee Cast,65,-,65,1,2011,10,8
You Can't Stop The Beat,Glee Cast,67,-,67,1,2011,10,8
Y.U. Mad,Birdman Featuring Nicki Minaj & Lil Wayne,68,-,68,1,2011,10,8
Fix A Heart,Demi Lovato,69,-,69,1,2011,10,8
Tattoos On This Town,Jason Aldean,81,-,81,1,2011,10,8
We Got The Beat,Glee Cast,83,-,83,1,2011,10,8
Drink In My Hand,Eric Church,96,-,96,1,2011,10,8
Unbroken,Demi Lovato,98,-,98,1,2011,10,8
Strange Clouds,B.o.B Featuring Lil Wayne,7,-,7,1,2011,10,15
It Will Rain,Bruno Mars,28,-,28,1,2011,10,15
When We Stand Together,Nickelback,48,-,48,1,2011,10,15
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,62,-,62,1,2011,10,15
Somewhere,Glee Cast,75,-,75,1,2011,10,15
Dedication To My Ex (Miss That),Lloyd Featuring Andre 3000 & Lil Wayne,81,-,81,1,2011,10,15
Fight For You,Jason Derulo,83,-,83,1,2011,10,15
After Midnight,Blink-182,88,-,88,1,2011,10,15
I Don't Want This Night To End,Luke Bryan,90,-,90,1,2011,10,15
Keep Me In Mind,Zac Brown Band,99,-,99,1,2011,10,15
Calling All The Monsters,China Anne McClain,100,-,100,1,2011,10,15
Crawling Back To You,Daughtry,41,-,41,1,2011,10,22
I Like It Like That,Hot Chelle Rae Featuring New Boyz,51,-,51,1,2011,10,22
Fix You,Glee Cast,53,-,53,1,2011,10,22
Hangover,Taio Cruz Featuring Flo Rida,62,-,62,1,2011,10,22
I'm Flexin',T.I. Featuring Big K.R.I.T.,66,-,66,1,2011,10,22
I Like How It Feels,Enrique Iglesias Featuring Pitbull & The WAV.s,76,-,76,1,2011,10,22
Run The World (Girls),Glee Cast,91,-,91,1,2011,10,22
Dance (A$$),Big Sean Featuring Nicki Minaj,93,-,93,1,2011,10,22
Party,Beyonce Featuring Andre 3000,95,-,95,1,2011,10,22
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,10,-,10,1,2011,10,29
Heartbeat,The Fray,43,-,43,1,2011,10,29
Countdown,Beyonce,85,-,85,1,2011,10,29
Still Got It,Tyga Featuring Drake,89,-,89,1,2011,10,29
Good Good Night,Roscoe Dash,91,-,91,1,2011,10,29
Criminal,Britney Spears,92,-,92,1,2011,10,29
The One That Got Away,Katy Perry,94,-,94,1,2011,10,29
Domino,Jessie J,96,-,96,1,2011,10,29
Make Me Proud,Drake Featuring Nicki Minaj,97,-,97,1,2011,10,29
Lost In Paradise,Evanescence,99,-,99,1,2011,10,29
Mistletoe,Justin Bieber,11,-,11,1,2011,11,5
A Thousand Years,Christina Perri,74,-,74,1,2011,11,5
You The Boss,Rick Ross Featuring Nicki Minaj,84,-,84,1,2011,11,5
You,Chris Young,85,-,85,1,2011,11,5
Promise,Romeo Santos Featuring Usher,94,-,94,1,2011,11,5
Focused,Wale Featuring Kid Cudi,97,-,97,1,2011,11,5
Princess Of China,Coldplay Featuring Rihanna,20,-,20,1,2011,11,12
Red Solo Cup,Toby Keith,37,-,37,1,2011,11,12
Sweat,Bow Wow Featuring Lil Wayne,48,-,48,1,2011,11,12
Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber Featuring Usher,58,-,58,1,2011,11,12
Stronger (What Doesn't Kill You),Kelly Clarkson,64,-,64,1,2011,11,12
Shake It Out,Florence + The Machine,86,-,86,1,2011,11,12
Lotus Flower Bomb,Wale Featuring Miguel,87,-,87,1,2011,11,12
Lonely Boy,The Black Keys,91,-,91,1,2011,11,12
Lessons In Love,Kaskade Featuring Neon Trees,94,-,94,1,2011,11,12
Storm Warning,Hunter Hayes,98,-,98,1,2011,11,12
Bait A Hook,Justin Moore,100,-,100,1,2011,11,12
Party On Fifth Ave.,Mac Miller,64,-,64,1,2011,11,19
Last Friday Night,Glee Cast,72,-,72,1,2011,11,19
Ambition,Wale Featuring Meek Mill & Rick Ross,81,-,81,1,2011,11,19
All I Want For Christmas Is You (SuperFestive!),Justin Bieber Duet With Mariah Carey,86,-,86,1,2011,11,19
Blackout,Breathe Carolina,92,-,92,1,2011,11,19
Over You,Miranda Lambert,93,-,93,1,2011,11,19
Reality,Kenny Chesney,97,-,97,1,2011,11,19
Drummer Boy,Justin Bieber Featuring Busta Rhymes,99,-,99,1,2011,11,19
First Of The Year (Equinox),Skrillex,100,-,100,1,2011,11,19
If This Was A Movie,Taylor Swift,10,-,10,1,2011,11,26
Ours,Taylor Swift,13,-,13,1,2011,11,26
Superman,Taylor Swift,26,-,26,1,2011,11,26
Run,Matt Nathanson Featuring Sugarland,53,-,53,1,2011,11,26
Smile Back,Mac Miller,55,-,55,1,2011,11,26
Footloose,Blake Shelton,63,-,63,1,2011,11,26
Uptown Girl,Glee Cast,68,-,68,1,2011,11,26
Home,Dierks Bentley,70,-,70,1,2011,11,26
You Da One,Rihanna,73,-,73,1,2011,11,26
Come Home,Faith Hill,82,-,82,1,2011,11,26
Take Care,Drake Featuring Rihanna,9,-,9,1,2011,12,3
Rumour Has It / Someone Like You,Glee Cast,11,-,11,1,2011,12,3
The Motto,Drake Featuring Lil Wayne,18,-,18,1,2011,12,3
Levels,Avicii,66,-,66,1,2011,12,3
Hate Sleeping Alone,Drake,67,-,67,1,2011,12,3
You And  I / You And I,Glee Cast,69,-,69,1,2011,12,3
I Can't Go For That / You Make My Dreams,Glee Cast,80,-,80,1,2011,12,3
Hit Me With Your Best Shot / One Way Or Another,Glee Cast,86,-,86,1,2011,12,3
We'll Be Fine,Drake Featuring Birdman,89,-,89,1,2011,12,3
HYFR (Hell Ya F*****g Right),Drake Featuring Lil Wayne,92,-,92,1,2011,12,3
Shot For Me,Drake,100,-,100,1,2011,12,3
Talk That Talk,Rihanna Featuring Jay-Z,31,-,31,1,2011,12,10
T.H.E (The Hardest Ever),will.i.am Featuring Mick Jagger & Jennifer Lopez,36,-,36,1,2011,12,10
Where Have You Been,Rihanna,65,-,65,1,2011,12,10
Strip,Chris Brown Featuring Kevin K-MAC McCall,85,-,85,1,2011,12,10
Lullaby,Nickelback,89,-,89,1,2011,12,10
Rack City,Tyga,94,-,94,1,2011,12,10
Tonight Is The Night,Outasight,96,-,96,1,2011,12,10
El Verdadero Amor Perdona,Mana Featuring Prince Royce,100,-,100,1,2011,12,10
Perfect,Glee Cast,57,-,57,1,2011,12,17
Girls Just Want To Have Fun,Glee Cast,59,-,59,1,2011,12,17
Roman In Moscow,Nicki Minaj,64,-,64,1,2011,12,17
I Kissed A Girl,Glee Cast,66,-,66,1,2011,12,17
Tongue Tied,Grouplove,78,-,78,1,2011,12,17
Can't Get Enough,J. Cole Featuring Trey Songz,82,-,82,1,2011,12,17
I'm The Only One,Glee Cast,86,-,86,1,2011,12,17
Constant Craving,Glee Cast,89,-,89,1,2011,12,17
It's Beginning To Look A Lot Like Christmas,Michael Buble,96,-,96,1,2011,12,17
Camouflage,Brad Paisley,100,-,100,1,2011,12,17
We Are Young,Glee Cast,12,-,12,1,2011,12,24
Bang Bang Pow Pow,T-Pain Featuring Lil Wayne,48,-,48,1,2011,12,24
Survivor / I Will Survive,Glee Cast,51,-,51,1,2011,12,24
We Are Young,fun. Featuring Janelle Monae,53,-,53,1,2011,12,24
Man In The Mirror,Glee Cast,76,-,76,1,2011,12,24
ABC,Glee Cast,88,-,88,1,2011,12,24
Alone With You,Jake Owen,90,-,90,1,2011,12,24
You Gonna Fly,Keith Urban,91,-,91,1,2011,12,24
Red Solo Cup,Glee Cast,92,-,92,1,2011,12,24
I'll Be Home For Christmas,Kelly Clarkson,93,-,93,1,2011,12,24
Round Of Applause,Waka Flocka Flame Featuring Drake,97,-,97,1,2011,12,24
Amen,Edens Edge,99,-,99,1,2011,12,24
Better Than I Used To Be,Tim McGraw,81,-,81,1,2011,12,31
Do They Know It's Christmas?,Glee Cast,92,-,92,1,2011,12,31
A Woman Like You,Lee Brice,96,-,96,1,2011,12,31
All I Want For Christmas Is You,Michael Buble,99,-,99,1,2011,12,31
Ass Back Home,Gym Class Heroes Featuring Neon Hitch,100,-,100,1,2011,12,31
Safe & Sound,Taylor Swift Featuring The Civil Wars,30,-,30,1,2012,1,7
Wild Ones,Flo Rida Featuring Sia,57,-,57,1,2012,1,7
I Do,Young Jeezy Featuring Jay-Z & Andre 3000,61,-,61,1,2012,1,7
Scary Monsters And Nice Sprites,Skrillex,69,-,69,1,2012,1,7
Better Than I Know Myself,Adam Lambert,76,-,76,1,2012,1,7
Stupid Hoe,Nicki Minaj,81,-,81,1,2012,1,7
Knock Knock,Mac Miller,88,-,88,1,2012,1,7
Wobble,V.I.C.,94,-,94,1,2012,1,7
The Champ,Nelly,64,-,64,1,2012,1,14
Play The Guitar,B.o.B Featuring Andre 3000,98,-,98,1,2012,1,14
I Won't Give Up,Jason Mraz,8,-,8,1,2012,1,21
Kyoto,Skrillex Featuring Sirah,74,-,74,1,2012,1,21
Set You Free,3OH!3,84,-,84,1,2012,1,21
Somebody That I Used To Know,Gotye Featuring Kimbra,91,-,91,1,2012,1,21
Where I Come From,Montgomery Gentry,94,-,94,1,2012,1,21
Gotta Have It,Jay Z Kanye West,98,-,98,1,2012,1,21
Drive By,Train,60,-,60,1,2012,1,28
Tattoo,Van Halen,67,-,67,1,2012,1,28
Called Out In The Dark,Snow Patrol,78,-,78,1,2012,1,28
Glad You Came,The Wanted,85,-,85,1,2012,1,28
Video Games,Lana Del Rey,91,-,91,1,2012,1,28
Don't Stop (Color On The Walls),Foster The People,97,-,97,1,2012,1,28
Wild Boy,MGK Featuring Waka Flocka Flame,98,-,98,1,2012,1,28
Without You,Glee Cast,28,-,28,1,2012,2,4
Faded,Tyga Featuring Lil Wayne,52,-,52,1,2012,2,4
We Found Love,Glee Cast,56,-,56,1,2012,2,4
Moves Like Jagger / Jumpin' Jack Flash,Glee Cast,62,-,62,1,2012,2,4
The First Time Ever I Saw Your Face,Glee Cast,70,-,70,1,2012,2,4
Summer Nights,Glee Cast,88,-,88,1,2012,2,4
Mr. Wrong,Mary J. Blige Featuring Drake,98,-,98,1,2012,2,4
Love's Gonna Make It Alright,George Strait,99,-,99,1,2012,2,4
No Church In The Wild,Jay Z Kanye West Featuring Frank Ocean,100,-,100,1,2012,2,4
Drink On It,Blake Shelton,81,-,81,1,2012,2,11
Sorry For Party Rocking,LMFAO,92,-,92,1,2012,2,11
Do It Like You,Diggy Featuring Jeremih,99,-,99,1,2012,2,11
Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.,13,-,13,1,2012,2,18
Smooth Criminal,Glee Cast Featuring 2Cellos,26,-,26,1,2012,2,18
Human Nature,Glee Cast,56,-,56,1,2012,2,18
Black Or White,Glee Cast,64,-,64,1,2012,2,18
Wanna Be Startin' Somethin',Glee Cast,78,-,78,1,2012,2,18
Bad,Glee Cast,80,-,80,1,2012,2,18
4 AM,Melanie Fiona,97,-,97,1,2012,2,18
I Will Always Love You,Whitney Houston,7,-,1,27,2012,2,25
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,35,-,1,19,2012,2,25
Greatest Love Of All,Whitney Houston,41,-,1,19,2012,2,25
Ima Boss,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",51,-,51,1,2012,2,25
Say Aah,Lindsey Pavao,80,-,80,1,2012,2,25
Sexy And I Know It,Glee Cast Featuring Ricky Martin,81,-,81,1,2012,2,25
Somethin' 'Bout A Truck,Kip Moore,89,-,89,1,2012,2,25
Feel So Close,Calvin Harris,90,-,90,1,2012,2,25
Drank In My Cup,Kirko Bangz,96,-,96,1,2012,2,25
La Isla Bonita,Glee Cast Featuring Ricky Martin,99,-,99,1,2012,2,25
Snitches Ain't...,"YG Featuring Tyga, Snoop Dogg & Nipsey Hussle",100,-,100,1,2012,2,25
Part Of Me,Katy Perry,1,-,1,1,2012,3,3
Starships,Nicki Minaj,9,-,9,1,2012,3,3
Turn Up The Music,Chris Brown,10,-,10,1,2012,3,3
What Makes You Beautiful,One Direction,28,-,28,1,2012,3,3
How Will I Know,Whitney Houston,49,-,1,24,2012,3,3
Runaway Baby,Bruno Mars,50,-,50,1,2012,3,3
Banjo,Rascal Flatts,63,-,63,1,2012,3,3
I Will Always Love You,Glee Cast,87,-,87,1,2012,3,3
I Can Only Imagine,David Guetta Featuring Chris Brown & Lil Wayne,90,-,90,1,2012,3,3
Stereo Hearts,Glee Cast,92,-,92,1,2012,3,3
Bangarang,Skrillex Featuring Sirah,95,-,95,1,2012,3,3
Raise Your Weapon,deadmau5 Featuring Greta Svabo Bech,100,-,100,1,2012,3,3
So Good,B.o.B,11,-,11,1,2012,3,10
Good Girl,Carrie Underwood,24,-,24,1,2012,3,10
Call Me Maybe,Carly Rae Jepsen,38,-,38,1,2012,3,10
Fly / I Believe I Can Fly,Glee Cast,56,-,56,1,2012,3,10
Some Nights,fun.,62,-,62,1,2012,3,10
Birthday Cake,Rihanna Featuring Chris Brown,63,-,63,1,2012,3,10
Cough Syrup,Glee Cast,65,-,65,1,2012,3,10
What Doesn't Kill You (Stronger),Glee Cast,66,-,66,1,2012,3,10
Here's To Us,Glee Cast,73,-,73,1,2012,3,10
Mutha***** Up,Tyga Featuring Nicki Minaj,74,-,74,1,2012,3,10
Climax,Usher,81,-,81,1,2012,3,10
Glad You Came,Glee Cast,90,-,90,1,2012,3,10
Make It Nasty,Tyga,91,-,91,1,2012,3,10
Fly Over States,Jason Aldean,92,-,92,1,2012,3,10
Cough Syrup,Young The Giant,95,-,95,1,2012,3,10
Live My Life,Far*East Movement Featuring Justin Bieber,21,-,21,1,2012,3,17
Roman Reloaded,Nicki Minaj Featuring Lil Wayne,70,-,70,1,2012,3,17
Springsteen,Eric Church,79,-,79,1,2012,3,17
Ayy Ladies,Travis Porter Featuring Tyga,88,-,88,1,2012,3,17
UP!,LoveRance Featuring IamSu & Skipper or 50 Cent,92,-,92,1,2012,3,17
Magic,Future Featuring T.I.,94,-,94,1,2012,3,17
Thank You,Estelle,100,-,100,1,2012,3,17
Shadow Days,John Mayer,42,-,42,1,2012,3,24
Midnight City,M83.,74,-,74,1,2012,3,24
Brokenhearted,Karmin,84,-,84,1,2012,3,24
No Hurry,Zac Brown Band,96,-,96,1,2012,3,24
Sex Ain't Better Than Love,Trey Songz,97,-,97,1,2012,3,24
Changed,Rascal Flatts,73,-,73,1,2012,3,31
Everybody Talks,Neon Trees,74,-,74,1,2012,3,31
One Thing,One Direction,90,-,90,1,2012,3,31
Even If It Breaks Your Heart,Eli Young Band,91,-,91,1,2012,3,31
Leave You Alone,Young Jeezy Featuring Ne-Yo,95,-,95,1,2012,3,31
TTYLXOX,Bella Thorne,98,-,98,1,2012,3,31
Eyes Open,Taylor Swift,19,-,19,1,2012,4,7
Too Close,Alex Clare,68,-,68,1,2012,4,7
Come Away To The Water,Maroon 5 Featuring Rozzi Crane,83,-,83,1,2012,4,7
This Ole Boy,Craig Morgan,92,-,92,1,2012,4,7
Bully,Shinedown,94,-,94,1,2012,4,7
We Run The Night,Havana Brown Featuring Pitbull,99,-,99,1,2012,4,7
Crew Love,Drake Featuring The Weeknd,100,-,100,1,2012,4,7
Boyfriend,Justin Bieber,2,-,2,1,2012,4,14
I Dont Really Care,Waka Flocka Flame Featuring Trey Songz,64,-,64,1,2012,4,14
Heart Attack,Trey Songz,65,-,65,1,2012,4,14
She Doesn't Mind,Sean Paul,78,-,78,1,2012,4,14
Back In Time,Pitbull,79,-,79,1,2012,4,14
Time Is Love,Josh Turner,91,-,91,1,2012,4,14
Ai Se Eu Te Pego,Michel Telo,95,-,95,1,2012,4,14
Got My Country On,Chris Cagle,98,-,98,1,2012,4,14
Naked,Dev & Enrique Iglesias,99,-,99,1,2012,4,14
Dance Again,Jennifer Lopez Featuring Pitbull,27,-,27,1,2012,4,21
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",38,-,38,1,2012,4,21
Feel Like A Rock Star,Kenny Chesney & Tim McGraw,40,-,40,1,2012,4,21
Right By My Side,Nicki Minaj Featuring Chris Brown,51,-,51,1,2012,4,21
Take It To The Head,"DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne",63,-,63,1,2012,4,21
Give Your Heart A Break,Demi Lovato,70,-,70,1,2012,4,21
Beez In The Trap,Nicki Minaj Featuring 2 Chainz,78,-,78,1,2012,4,21
Va Va Voom,Nicki Minaj,79,-,79,1,2012,4,21
Love This Life,T.I.,81,-,81,1,2012,4,21
Another Round,Fat Joe Featuring Chris Brown,83,-,83,1,2012,4,21
Fine By Me,Andy Grammer,87,-,87,1,2012,4,21
Little Talks,Of Monsters And Men,92,-,92,1,2012,4,21
(Kissed You) Good Night,Gloriana,97,-,97,1,2012,4,21
Is Anybody Out There?,K'Naan Featuring Nelly Furtado,99,-,99,1,2012,4,21
Somebody That I Used To Know,Glee Cast,26,-,26,1,2012,4,28
Cashin' Out,Ca$h Out,81,-,81,1,2012,4,28
Roxanne,Juliet Simms,86,-,86,1,2012,4,28
Think Like A Man,Jennifer Hudson & Ne-Yo Featuring Rick Ross,90,-,90,1,2012,4,28
Hungry Like The Wolf / Rio,Glee Cast,98,-,98,1,2012,4,28
Payphone,Maroon 5 Featuring Wiz Khalifa,3,-,3,1,2012,5,5
Burn It Down,Linkin Park,30,-,30,1,2012,5,5
Loud,Mac Miller,53,-,53,1,2012,5,5
Stay Schemin,Rick Ross Featuring Drake & French Montana,58,-,58,1,2012,5,5
Way Too Cold,Kanye West Featuring DJ Khaled,86,-,86,1,2012,5,5
Sweet Love,Chris Brown,89,-,89,1,2012,5,5
Beers Ago,Toby Keith,95,-,95,1,2012,5,5
Eyes Wide Open,Gotye,96,-,96,1,2012,5,5
Tonight (Best You Ever Had),John Legend Featuring Ludacris,97,-,97,1,2012,5,5
Same Damn Time,Future,100,-,100,1,2012,5,5
"Work Hard, Play Hard",Wiz Khalifa,17,-,17,1,2012,5,12
Whistle,Flo Rida,64,-,64,1,2012,5,12
How Will I Know,Glee Cast,65,-,65,1,2012,5,12
Scream,Usher,70,-,70,1,2012,5,12
Let's Go,Calvin Harris Featuring Ne-Yo,89,-,89,1,2012,5,12
It's Not Right But It's Okay,Glee Cast,92,-,92,1,2012,5,12
Wanted,Hunter Hayes,99,-,99,1,2012,5,12
Both Of Us,B.o.B Featuring Taylor Swift,18,-,18,1,2012,5,19
Blown Away,Carrie Underwood,66,-,66,1,2012,5,19
"It's A Man's, Man's, Man's World",Juliet Simms,70,-,70,1,2012,5,19
Shake It Out,Glee Cast,71,-,71,1,2012,5,19
Why Ya Wanna,Jana Kramer,97,-,97,1,2012,5,19
Postcard From Paris,The Band Perry,100,-,100,1,2012,5,19
No Lie,2 Chainz Featuring Drake,45,-,45,1,2012,5,26
99 Problems,Tony Lucca,58,-,58,1,2012,5,26
Turn To You (Mother's Day Dedication),Justin Bieber,60,-,60,1,2012,5,26
Yesterday,Adam Levine & Tony Lucca,68,-,68,1,2012,5,26
I Believe I Can Fly,Jermaine Paul,83,-,83,1,2012,5,26
The Prayer,Christina Aguilera & Chris Mann,85,-,85,1,2012,5,26
5-1-5-0,Dierks Bentley,94,-,94,1,2012,5,26
Lemme See,Usher Featuring Rick Ross,98,-,98,1,2012,5,26
Come Over,Kenny Chesney,59,-,59,1,2012,6,2
Nobody's Perfect,J. Cole Featuring Missy Elliott,90,-,90,1,2012,6,2
The Fighter,Gym Class Heroes Featuring Ryan Tedder,95,-,95,1,2012,6,2
Angel Eyes,Love And Theft,98,-,98,1,2012,6,2
Cowboys And Angels,Dustin Lynch,100,-,100,1,2012,6,2
Home,Phillip Phillips,10,-,10,1,2012,6,9
Wide Awake,Katy Perry,35,-,35,1,2012,6,9
Around My Way (Freedom Ain't Free),Lupe Fiasco,76,-,76,1,2012,6,9
Don't Wake Me Up,Chris Brown,89,-,89,1,2012,6,9
Undefeated,Jason Derulo,90,-,90,1,2012,6,9
How We Do (Party),Rita Ora,96,-,96,1,2012,6,9
We've Got Tonight,Phillip Phillips,97,-,97,1,2012,6,9
Die In Your Arms,Justin Bieber,17,-,17,1,2012,6,16
I'm All Yours,Jay Sean Featuring Pitbull,85,-,85,1,2012,6,16
Chasing The Sun,The Wanted,93,-,93,1,2012,6,16
For You,Keith Urban,97,-,97,1,2012,6,16
All Around The World,Justin Bieber Featuring Ludacris,22,-,22,1,2012,6,23
My Homies Still,Lil Wayne Featuring Big Sean,38,-,38,1,2012,6,23
Pontoon,Little Big Town,51,-,51,1,2012,6,23
Get Low,"Waka Flocka Flame Featuring Nicki Minaj, Tyga & Flo Rida",72,-,72,1,2012,6,23
Ho Hey,The Lumineers,90,-,90,1,2012,6,23
It's Time,Imagine Dragons,93,-,93,1,2012,6,23
Gold On The Ceiling,The Black Keys,97,-,97,1,2012,6,23
Glass,Thompson Square,100,-,100,1,2012,6,23
As Long As You Love Me,Justin Bieber Featuring Big Sean,21,-,21,1,2012,6,30
Want U Back,Cher Lloyd,75,-,75,1,2012,6,30
Over,Blake Shelton,89,-,89,1,2012,6,30
She's So Mean,matchbox twenty,91,-,91,1,2012,6,30
Hard To Love,Lee Brice,96,-,96,1,2012,6,30
Snap Backs & Tattoos,Driicky Graham,97,-,97,1,2012,6,30
One More Night,Maroon 5,42,-,42,1,2012,7,7
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,72,-,72,1,2012,7,7
Amen,Meek Mill Featuring Drake,86,-,86,1,2012,7,7
Dark Side,Kelly Clarkson,93,-,93,1,2012,7,7
Right Here,Justin Bieber Featuring Drake,95,-,95,1,2012,7,7
Lovin' You Is Fun,Easton Corbin,100,-,100,1,2012,7,7
Good Time,Owl City & Carly Rae Jepsen,18,-,18,1,2012,7,14
Wipe Your Eyes,Maroon 5,80,-,80,1,2012,7,14
Promises,NERO,81,-,81,1,2012,7,14
Bag Of Money,"Wale Featuring Rick Ross, Meek Mill & T-Pain",93,-,93,1,2012,7,14
Lost In The Echo,Linkin Park,95,-,95,1,2012,7,14
Windows Down,Big Time Rush,97,-,97,1,2012,7,14
The Wind,Zac Brown Band,99,-,99,1,2012,7,14
Blow Me (One Last Kiss),P!nk,58,-,58,1,2012,7,21
Truck Yeah,Tim McGraw,69,-,69,1,2012,7,21
I Wish You Would,DJ Khaled Featuring Kanye West & Rick Ross,78,-,78,1,2012,7,21
2 Reasons,Trey Songz Featuring T.I.,97,-,97,1,2012,7,21
Get It Started,Pitbull Featuring Shakira,99,-,99,1,2012,7,21
Thinkin Bout You,Frank Ocean,85,-,85,1,2012,7,28
Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",90,-,90,1,2012,7,28
Something To Do With My Hands,Thomas Rhett,93,-,93,1,2012,7,28
The A Team,Ed Sheeran,95,-,95,1,2012,7,28
50 Ways To Say Goodbye,Train,98,-,98,1,2012,7,28
That's Why I Pray,Big & Rich,99,-,99,1,2012,7,28
Take A Little Ride,Jason Aldean,12,-,12,1,2012,8,4
Settle Down,No Doubt,34,-,34,1,2012,8,4
Go Get It,T.I.,77,-,77,1,2012,8,4
Runaways,The Killers,78,-,78,1,2012,8,4
Mercy,Dave Matthews Band,95,-,95,1,2012,8,4
New God Flow,Pusha T Kanye West,89,-,89,1,2012,8,11
Birthday Song,2 Chainz Featuring Kanye West,91,-,91,1,2012,8,11
Pound The Alarm,Nicki Minaj,92,-,92,1,2012,8,11
Fastest Girl In Town,Miranda Lambert,94,-,94,1,2012,8,11
Come Wake Me Up,Rascal Flatts,98,-,98,1,2012,8,11
Neon,Chris Young,100,-,100,1,2012,8,11
New Day,50 Cent Featuring Dr. Dre & Alicia Keys,79,-,79,1,2012,8,18
Adorn,Miguel,82,-,82,1,2012,8,18
Diced Pineapples,Rick Ross Featuring Wale & Drake,89,-,89,1,2012,8,18
Radioactive,Imagine Dragons,93,-,93,1,2012,8,18
Enough Of No Love,Keyshia Cole Featuring Lil Wayne,94,-,94,1,2012,8,18
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,99,-,99,1,2012,8,18
Swimming Pools (Drank),Kendrick Lamar,100,-,100,1,2012,8,18
I Will Wait,Mumford & Sons,23,-,23,1,2012,8,25
We Are Never Ever Getting Back Together,Taylor Swift,72,-,72,1,2012,8,25
Turn On The Lights,Future,89,-,89,1,2012,8,25
The One That Got Away,Jake Owen,93,-,93,1,2012,8,25
Oh Love,Green Day,100,-,100,1,2012,8,25
Yuck!,2 Chainz Featuring Lil Wayne,80,-,80,1,2012,9,1
Lamborghini Angels,Lupe Fiasco,92,-,92,1,2012,9,1
Put It Down,Brandy Featuring Chris Brown,95,-,95,1,2012,9,1
Cruise,Florida Georgia Line Featuring Nelly,99,-,99,1,2012,9,1
Madness,Muse,84,-,84,1,2012,9,8
Hall Of Fame,The Script Featuring will.i.am,87,-,87,1,2012,9,8
Kiss Tomorrow Goodbye,Luke Bryan,92,-,92,1,2012,9,8
Dive In,Trey Songz,93,-,93,1,2012,9,8
Creepin',Eric Church,95,-,95,1,2012,9,8
Throw That,Slaughterhouse Featuring Eminem,98,-,98,1,2012,9,8
