Track,Artist,Position,Peak,Last,Weeks,Year,Month,Week
Baby Close Your Eyes,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Be The Man,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Beautiful Boy,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Beauty And The Beast,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Because You Loved Me,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Bewitched Bothered And Bewildered,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Blue Christmas,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Breakaway,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Call The Man,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Calling You,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Can't Fight The Feelin',Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Cherche Encore,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Christmas Eve,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Come To Me,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Coulda Woulda Shoulda,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Dance With My Father,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Declaration Of Love,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Did You Give Enough Love,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Didn't Know Love,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Don't Save It All For Christmas Day,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Don't Say Goodbye,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Fade Away,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Faith,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
If I Could,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
If I Were You,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
If Love Is Out Of The Question,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
If Only You Could See Me Now,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
If We Could Start Over,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
If You Asked Me To,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
I'm Loving Every Moment With You,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Incredible,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
It's All Coming Back To Me Now,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
It's Hard To Say Goodbye,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
I've Got The World On A String,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Je Ne Veux Pas,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Just Walk Away,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Les Chemins De Ma Maison,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Les Derniers Seront Les Premiers,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Live For The One I Love,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Lolita,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Lolita (Trop Jeune Pour Aimer),Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Love By Another Name,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Love Can Move Mountains,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Love Doesn't Ask Why,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Love Is All We Need,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Love Is On The Way,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
L'Univers A Besoin D'Amour,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Map To My Heart,Celine Dion,0.0,0.0,0,0.0,0.0,0.0,0.0
Ain't Nobody,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Ain't Nothin' But A Maybe,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Ain't That Peculiar,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
All Night's All Right,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
And The Melody Still Lingers On (Night In Tunisia),Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Angel,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Any Love,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Any Old Sunday,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
At Midnight (My Love Will Lift You Up),Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Best In The West,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Change Your Ways,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Clouds,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Dance Wit Me,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Destiny,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Diamonds Are Forever,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Do You Hear What I Hear?,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Do You Love What You Feel,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Don't Go To Strangers,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Don't Look At Me That Way,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Don't Talk 2 Strangers,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Egyptian Song,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Eternity,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Everlasting Love,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Hey Big Spender,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
High Wire - The Aerialist,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Highlight,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Hold Her,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Hollywood,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
I Can't Be Loved,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
I Feel For You,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
I Finally Found You,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
I Got The Right Street,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
I Hear Music,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
"I Know You, I Live You",Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
I Love You Porgy,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
I Mean You,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
I Was Made To Love Him,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
I'll Be Around,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
I'll Never Be Another Fool,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
I'm A Woman,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
I'm In The Mood For Love,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Is That All There Is,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
It's My Party,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Live In Me,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Love Me Still,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Love Of A Lifetime,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Love With No Strings,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Love You All My Lifetime,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Magic In Your Eyes,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Make It Last,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Masterjam,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Music Man,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Nothing's Gonna Take You Away,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Once You Get Started,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Own The Night,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Papillon (Aka Hot Butterfly),Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Papillon (Hot Butterfly),Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Pass It On,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Right Is Right,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Round Midnight,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Satisfied,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Secret Friend,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Sharing The Love,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Sign 'o' The Times,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Slip N' Slide,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Smokin' Room,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
So Close,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
So Naughty,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
So Not To Worry,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Somebody's Watching You,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Somethin' Deep,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Soul Talkin',Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
This Time,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Through The Fire,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Tight Fit,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
True Love,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Turn,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Twisted,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
Watching The World,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
We Got Each Other,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
We Got The Love,Chaka Khan,0.0,0.0,0,0.0,0.0,0.0,0.0
3-D,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Ain't That A Shame,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
All I Really Want To Do,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
All Wound Up,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Anytime,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Are You Lonely Tonight,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Auf Wiedersehen,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Baby Loves To Rock,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Baby No More,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Back 'n Blue,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Best Friend,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Big Eyes,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Borderline,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Can't Hold On,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Can't Stop Fallin' Into Love,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Can't Stop It But I'm Gonna Try,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Carnival Game,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Clock Strikes Ten,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
"Come On, Come On, Come On",Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Cry Baby,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
"Cry, Cry",Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Daddy Should Have Stayed In High School,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Didn't Know I Had It,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Don't Be Cruel,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Don't Make Our Love A Crime,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Dream Police,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Dream The Night Away,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Elo Kiddies,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Fan Club,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Four Letter Word,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Ghost Town,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Go For The Throat,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Gonna Raise Hell,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Good Girls Go To Heaven,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Goodnight,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Had To Make You Mine,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Hard To Tell,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Heaven Tonight,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Heaven's Falling,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Hello There,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
High Priest Of Rhythmic Noise,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
High Roller,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
I Don't Love Here Anymore,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
I Love You Honey But I Hate Your Friends,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
I Must Be Dreaming,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
I Need Love,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
I Want Be Man,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
I Want You,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
If I Could,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
If You Want My Love,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
I'll Be With You Tonight,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
I'm The Man,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
It's Only Love,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
It's Up To You,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Just Got Back,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Kiss Me Red,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Lookout,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Love Comes,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Love Comes A - Tumblin' Down,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Love Me For A Minute,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Love's Got A Hold On Me,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Magical Mystery Tour,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Man-U-Lip-U-Lator,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Mandocello,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Mighty Wings,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
My Gang,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
My Obsession,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Name Of The Game,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Need Your Love,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Never Had A Lot To Lose,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Next Position Please,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
O Claire,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
"Oh, Candy",Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
On The Radio,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
On Top Of The World,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
One On One,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Oo La La La,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Perfect Stranger,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Pop Drone,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Reach Out,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Rearview Mirror Romance,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Ride The Pony,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Rock All Night,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Rock 'n' Roll Tonight,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Scent Of A Woman,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
She's Got Motion,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
She's Tight,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
So Good To See You,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Sorry Boy,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Space,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Stop This Game,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Surrender,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Take Me I'm Yours,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Take Me To The Top,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
"Taxman, Mr. Thief",Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Tell Me Everything,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
That 70's Song,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
The Ballad Of TV Violence,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
This Time You Got It,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Through The Night,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Time Is Runnin',Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Too Much,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Up The Creek,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Walk Away,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Welcome To The World,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
"You Drive, I'll Steer",Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
You Let A Lotta People Down,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
You Talk Too Much,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
Younger Girls,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
You're All I Wanna Do,Cheap Trick,0.0,0.0,0,0.0,0.0,0.0,0.0
88 Degrees,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
A Different Kind Of Love Song,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
All Or Nothing,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Am I Blue,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Angels Running,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Baby I'm Yours,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Back On The Street Again,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Believe,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Believe (Club 69 Future Anthem Dub),Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Believe (Club 69 Phunk Dub),Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Bell Bottom Blues,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Blowin' In The Wind,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
"Body To Body,heart To Heart",Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
But You're Mine,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
By Myself,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Can You Fool (With Greg Allman),Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Catch The Wind,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Chastity Sun,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Chastity's Song (Band Of Thieves),Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Cheryl's Going Home,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Christmas (Baby Please Come Home),Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Classified 1A,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Come And Stay With Me,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Come To Your Window,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Crimson And Clover,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Cry Like A Baby,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Cryin Shame,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Dangerous Times,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Danny Boy,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
David's Song,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Dead Ringer For Love,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Disaster Cake,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Dixie,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Do I Ever Cross Your Mind,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
"Do Right Woman, Do Right Man",Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Do What You Gotta Do (With Greg Allman),Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Does Anybody Really Fall In Love Anymore,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Don't Come Around Tonite,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Don't Come Cryin' To Me,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Fast Company,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Fire And Rain,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Fire Down Below,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Fit To Fly,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Flashback,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
For What It's Worth,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Games,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Geronimo's Cadillac,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Give Our Love A Fighting Chance,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Good Combination,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Good Times,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Goodbye's The Saddest Word,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Half Breed,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Hard Enough Getting Over You,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Have I Stayed Too Long,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
He Ain't Heavy...He's My Brother,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Heart Of Stone,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
He'll Never Know,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Here Comes That Rainy Day Feeling Again,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Hey Joe,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Hold You Tighter,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Holdin' Out For Love,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
I Can See Clearly Now,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
I Don't Have To Sleep To Dream,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
I Go To Sleep,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
I Got You Babe,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
I Hate To Sleep Alone,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
I Hope You Find It,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
I Know (You Don't Love Me),Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
I Love Making Love To You,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
I'm In The Middle,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
In For The Night (With Greg Allman),Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
It All Adds Up Now,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
It Gets Me Where I Want To Go,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
It Might As Well Stay Monday,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
It's A Man's World,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
It's Gonna Rain,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
It's The Little Things,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
It's Too Late To Love Me Now,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Julie,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Just A Name,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Just Enough To Keep Me Hangin' On,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Just You,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Kiss To Kiss,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Knock On Wood,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
L.A. Plane,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Let This Be A Lesson To You,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Lie To Me,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Like A Rolling Stone,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Little Man,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Living In A House Divided,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Long Distance Love Affair,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Look At Me,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
Love And Pain,Cher,0.0,0.0,0,0.0,0.0,0.0,0.0
